activity_name,activity_definition_id,activity_instance_ids_guess,problem_name,domain,bddl_path,robot_type,robot_type_source,objects_count,object_synsets,rooms,predicates,eval_command_guess
baking_sugar_cookies,0,[0],baking_sugar_cookies-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/baking_sugar_cookies/problem0.bddl,R1Pro,--robot-type,31,"[""agent.n.01"", ""baking_powder.n.01"", ""baking_powder__jar.n.01"", ""cookie_sheet.n.01"", ""countertop.n.01"", ""electric_mixer.n.01"", ""electric_refrigerator.n.01"", ""floor.n.01"", ""flour.n.01"", ""flour__sack.n.01"", ""granulated_sugar.n.01"", ""mason_jar.n.01"", ""melted__butter.n.01"", ""oven.n.01"", ""plate.n.04"", ""raw_egg.n.01"", ""salt.n.02"", ""salt__shaker.n.01"", ""sodium_carbonate.n.01"", ""sodium_carbonate__jar.n.01"", ""sugar__sack.n.01"", ""sugar_cookie.n.01"", ""tablespoon.n.02"", ""vanilla.n.02"", ""vanilla__bottle.n.01""]","[""kitchen""]","[""cooked"", ""filled"", ""future"", ""inroom"", ""inside"", ""insource"", ""ontop"", ""real""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/baking_sugar_cookies_eval policy=websocket task.name=baking_sugar_cookies task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
boil_water,0,[0],boil_water-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/boil_water/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""cabinet.n.01"", ""cooked__water.n.01"", ""floor.n.01"", ""kettle.n.01"", ""sink.n.01"", ""stove.n.01"", ""water.n.06""]","[""kitchen""]","[""filled"", ""future"", ""inroom"", ""inside"", ""insource"", ""ontop"", ""real""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/boil_water_eval policy=websocket task.name=boil_water task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
boil_water_in_the_microwave,0,[0],boil_water_in_the_microwave-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/boil_water_in_the_microwave/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""cabinet.n.01"", ""cooked__water.n.01"", ""floor.n.01"", ""microwave.n.02"", ""mug.n.04"", ""sink.n.01"", ""water.n.06""]","[""kitchen""]","[""filled"", ""future"", ""inroom"", ""inside"", ""insource"", ""ontop"", ""real""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/boil_water_in_the_microwave_eval policy=websocket task.name=boil_water_in_the_microwave task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bottling_wine,0,[0],bottling_wine-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bottling_wine/problem0.bddl,R1Pro,--robot-type,17,"[""agent.n.01"", ""breakfast_table.n.01"", ""bucket.n.01"", ""cabinet.n.01"", ""cork.n.04"", ""countertop.n.01"", ""electric_refrigerator.n.01"", ""floor.n.01"", ""red_wine.n.01"", ""wine_bottle.n.01""]","[""dining_room"", ""kitchen""]","[""attached"", ""filled"", ""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bottling_wine_eval policy=websocket task.name=bottling_wine task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
boxing_books_up_for_storage,0,[0],boxing_books_up_for_storage-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/boxing_books_up_for_storage/problem0.bddl,R1Pro,--robot-type,13,"[""agent.n.01"", ""book.n.02"", ""bookcase.n.01"", ""box.n.01"", ""floor.n.01""]","[""living_room""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/boxing_books_up_for_storage_eval policy=websocket task.name=boxing_books_up_for_storage task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
boxing_food_after_dinner,0,[0],boxing_food_after_dinner-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/boxing_food_after_dinner/problem0.bddl,R1Pro,--robot-type,11,"[""agent.n.01"", ""breakfast_table.n.01"", ""electric_refrigerator.n.01"", ""floor.n.01"", ""kabob.n.01"", ""plate.n.04"", ""tupperware.n.01""]","[""dining_room"", ""kitchen""]","[""cooked"", ""inroom"", ""inside"", ""ontop"", ""open""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/boxing_food_after_dinner_eval policy=websocket task.name=boxing_food_after_dinner task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
brewing_coffee,0,[0],brewing_coffee-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/brewing_coffee/problem0.bddl,R1Pro,--robot-type,11,"[""agent.n.01"", ""coffee_bean.n.01"", ""coffee_bean__jar.n.01"", ""coffee_maker.n.01"", ""countertop.n.01"", ""drip_coffee.n.01"", ""floor.n.01"", ""mug.n.04"", ""sink.n.01"", ""tablespoon.n.02"", ""water.n.06""]","[""kitchen""]","[""contains"", ""filled"", ""future"", ""inroom"", ""insource"", ""ontop"", ""real""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/brewing_coffee_eval policy=websocket task.name=brewing_coffee task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_glass_to_recycling,0,[0],bringing_glass_to_recycling-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_glass_to_recycling/problem0.bddl,R1Pro,--robot-type,5,"[""agent.n.01"", ""floor.n.01"", ""recycling_bin.n.01"", ""water_glass.n.02""]","[""garden"", ""kitchen""]","[""inroom"", ""inside"", ""ontop"", ""open""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_glass_to_recycling_eval policy=websocket task.name=bringing_glass_to_recycling task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_in_kindling,0,[0],bringing_in_kindling-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_in_kindling/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""driveway.n.01"", ""firewood.n.01"", ""floor.n.01"", ""wood_fireplace.n.01""]","[""garden"", ""living_room""]","[""inroom"", ""nextto"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_in_kindling_eval policy=websocket task.name=bringing_in_kindling task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_in_mail,0,[0],bringing_in_mail-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_in_mail/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""coffee_table.n.01"", ""floor.n.01"", ""lawn.n.01"", ""mail.n.04"", ""mailbox.n.01""]","[""garden"", ""living_room""]","[""inroom"", ""inside"", ""ontop"", ""open""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_in_mail_eval policy=websocket task.name=bringing_in_mail task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_in_wood,0,[0],bringing_in_wood-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_in_wood/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""floor.n.01"", ""plywood.n.01""]","[""corridor"", ""garden""]","[""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_in_wood_eval policy=websocket task.name=bringing_in_wood task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_laundry,0,[0],bringing_laundry-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_laundry/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""floor.n.01"", ""garment.n.01"", ""hamper.n.02"", ""stain.n.01"", ""washer.n.03""]","[""living_room"", ""utility_room""]","[""covered"", ""inroom"", ""inside"", ""ontop"", ""open""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_laundry_eval policy=websocket task.name=bringing_laundry task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_newspaper_in,0,[0],bringing_newspaper_in-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_newspaper_in/problem0.bddl,R1Pro,--robot-type,5,"[""agent.n.01"", ""coffee_table.n.01"", ""driveway.n.01"", ""floor.n.01"", ""newspaper.n.03""]","[""garden"", ""living_room""]","[""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_newspaper_in_eval policy=websocket task.name=bringing_newspaper_in task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_paper_to_recycling,0,[0],bringing_paper_to_recycling-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_paper_to_recycling/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""floor.n.01"", ""paper.n.01"", ""recycling_bin.n.01""]","[""corridor""]","[""inroom"", ""inside"", ""ontop"", ""open""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_paper_to_recycling_eval policy=websocket task.name=bringing_paper_to_recycling task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bringing_water,0,[0],bringing_water-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bringing_water/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""bottle.n.01"", ""coffee_table.n.01"", ""electric_refrigerator.n.01"", ""floor.n.01""]","[""kitchen"", ""living_room""]","[""inroom"", ""inside"", ""ontop"", ""open""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bringing_water_eval policy=websocket task.name=bringing_water task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
brushing_lint_off_clothing,0,[0],brushing_lint_off_clothing-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/brushing_lint_off_clothing/problem0.bddl,R1Pro,--robot-type,9,"[""agent.n.01"", ""bed.n.01"", ""dust.n.01"", ""floor.n.01"", ""scrub_brush.n.01"", ""sweater.n.01""]","[""bedroom""]","[""covered"", ""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/brushing_lint_off_clothing_eval policy=websocket task.name=brushing_lint_off_clothing task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_a_air_conditioner,0,[0],buy_a_air_conditioner-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_a_air_conditioner/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""air_conditioner.n.01"", ""checkout.n.03"", ""floor.n.01"", ""money.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_a_air_conditioner_eval policy=websocket task.name=buy_a_air_conditioner task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_a_belt,0,[0],buy_a_belt-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_a_belt/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""belt.n.02"", ""checkout.n.03"", ""floor.n.01"", ""money.n.01"", ""shopping_basket.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_a_belt_eval policy=websocket task.name=buy_a_belt task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_a_good_avocado,0,[0],buy_a_good_avocado-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_a_good_avocado/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""avocado.n.01"", ""checkout.n.03"", ""floor.n.01"", ""money.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_a_good_avocado_eval policy=websocket task.name=buy_a_good_avocado task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_a_keg,0,[0],buy_a_keg-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_a_keg/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""beer_barrel.n.01"", ""checkout.n.03"", ""credit_card.n.01"", ""floor.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_a_keg_eval policy=websocket task.name=buy_a_keg task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_alcohol,0,[0],buy_alcohol-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_alcohol/problem0.bddl,R1Pro,--robot-type,9,"[""agent.n.01"", ""bottle__of__beer.n.01"", ""bottle__of__vodka.n.01"", ""bottle__of__wine.n.01"", ""checkout.n.03"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_alcohol_eval policy=websocket task.name=buy_alcohol task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_and_clean_mussels,0,[0],buy_and_clean_mussels-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_and_clean_mussels/problem0.bddl,R1Pro,--robot-type,13,"[""agent.n.01"", ""countertop.n.01"", ""electric_refrigerator.n.01"", ""floor.n.01"", ""mixing_bowl.n.01"", ""mussel.n.01"", ""paper_towel.n.01"", ""sack.n.01"", ""sand.n.04"", ""water.n.06""]","[""kitchen""]","[""covered"", ""filled"", ""frozen"", ""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_and_clean_mussels_eval policy=websocket task.name=buy_and_clean_mussels task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_basic_garden_tools,0,[0],buy_basic_garden_tools-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_basic_garden_tools/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""backpack.n.01"", ""checkout.n.03"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""rake.n.03"", ""shovel.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_basic_garden_tools_eval policy=websocket task.name=buy_basic_garden_tools task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_boxes_for_packing,0,[0],buy_boxes_for_packing-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_boxes_for_packing/problem0.bddl,R1Pro,--robot-type,7,"[""agent.n.01"", ""carton.n.02"", ""checkout.n.03"", ""floor.n.01"", ""money.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_boxes_for_packing_eval policy=websocket task.name=buy_boxes_for_packing task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_candle_making_supplies,0,[0],buy_candle_making_supplies-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_candle_making_supplies/problem0.bddl,R1Pro,--robot-type,9,"[""agent.n.01"", ""candlestick.n.01"", ""checkout.n.03"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""paraffin.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_candle_making_supplies_eval policy=websocket task.name=buy_candle_making_supplies task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_dog_food,0,[0],buy_dog_food-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_dog_food/problem0.bddl,R1Pro,--robot-type,7,"[""agent.n.01"", ""can__of__dog_food.n.01"", ""checkout.n.03"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_dog_food_eval policy=websocket task.name=buy_dog_food task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_eggs,0,[0],buy_eggs-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_eggs/problem0.bddl,R1Pro,--robot-type,13,"[""agent.n.01"", ""checkout.n.03"", ""egg.n.02"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""shopping_cart.n.01"", ""tray.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_eggs_eval policy=websocket task.name=buy_eggs task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_fish,0,[0],buy_fish-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_fish/problem0.bddl,R1Pro,--robot-type,7,"[""agent.n.01"", ""checkout.n.03"", ""disinfectant.n.01"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""salmon.n.03""]","[""grocery_store""]","[""covered"", ""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_fish_eval policy=websocket task.name=buy_fish task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
buy_food_for_a_party,0,[0],buy_food_for_a_party-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/buy_food_for_a_party/problem0.bddl,R1Pro,--robot-type,18,"[""agent.n.01"", ""bottle__of__apple_juice.n.01"", ""carton__of__milk.n.01"", ""cash_register.n.01"", ""checkout.n.03"", ""chocolate_cake.n.01"", ""floor.n.01"", ""grocery_shelf.n.01"", ""money.n.01"", ""pack__of__pasta.n.01"", ""shopping_cart.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/buy_food_for_a_party_eval policy=websocket task.name=buy_food_for_a_party task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
